연도,시군구명,법정동명,법정동,법정동코드,0_3m_최다지층_경암층,0_3m_최다지층_기타,0_3m_최다지층_매립토층,0_3m_최다지층_붕적토층,0_3m_최다지층_전답토층,0_3m_최다지층_퇴적토층,0_3m_최다지층_풍화암층,0_3m_최다지층_풍화토층,3_10m_최다지층_기타,3_10m_최다지층_매립토층,3_10m_최다지층_붕적토층,3_10m_최다지층_연암층,3_10m_최다지층_퇴적토층,3_10m_최다지층_풍화암층,3_10m_최다지층_풍화토층,10_20m_최다지층_경암층,10_20m_최다지층_연암층,10_20m_최다지층_퇴적토층,10_20m_최다지층_풍화암층,10_20m_최다지층_풍화토층,20_30m_최다지층_경암층,20_30m_최다지층_연암층,20_30m_최다지층_풍화암층,20_30m_최다지층_풍화토층,30m이하_최다지층_경암층,30m이하_최다지층_연암층,30m이하_최다지층_풍화암층,30m이하_최다지층_풍화토층,전체_우세지층_경암층,전체_우세지층_기타,전체_우세지층_매립토층,전체_우세지층_붕적토층,전체_우세지층_연암층,전체_우세지층_전답토층,전체_우세지층_퇴적토층,전체_우세지층_풍화암층,전체_우세지층_풍화토층,평균 침수심,평균 침수면적,평균 침수위,평균 침수시간,침수여부,공사횟수,평균굴착용적,평균굴착면적,평균최대굴착깊이,시설용량,처리구역면적_합류식,처리구역면적_분류식,하수관로_총시설연장,하수관로_지선합류식,하수관로_지선분류식,용량_대_면적,지선_합류_대_분류,지하철역_개수,싱크홀 발생 여부
2022,도봉구,창동,도봉구_창동,1132010700,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.3,203.62,32.16,24.21,1,3,3582.0,0.0,19.0,1590000.0,8.5,2.7,329483.56,277332.14,23358.98,141964.2857142857,0.9223156972510528,2,0
2023,도봉구,창동,도봉구_창동,1132010700,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,,,,0,3,3582.0,0.0,19.0,1590000.0,8.5,2.7,329801.26,277442.24,23647.39,141964.2857142857,0.921460629514208,2,0
2024,도봉구,창동,도봉구_창동,1132010700,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,14.05,1590000.0,8.5,2.7,329801.26,277442.24,23647.39,141964.2857142857,0.921460629514208,2,0
2025,도봉구,창동,도봉구_창동,1132010700,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,17.46,1590000.0,8.5,2.7,329801.26,277442.24,23647.39,141964.2857142857,0.921460629514208,2,0
2018,동대문구,답십리동,동대문구_답십리동,1123010500,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.3,116.0,13.77,150.0,1,0,,,,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,0,0
2019,동대문구,답십리동,동대문구_답십리동,1123010500,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,1,0.0,0.0,17.24,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,0,0
2020,동대문구,답십리동,동대문구_답십리동,1123010500,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5,251.65,14.5,330.0,1,0,,,,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,0,0
2021,동대문구,답십리동,동대문구_답십리동,1123010500,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,24.75,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,0,0
2022,동대문구,답십리동,동대문구_답십리동,1123010500,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1,94.71,15.38,1.29,1,4,0.0,0.0,18.3925,1590000.0,11.7,1.9,404801.63,385103.37,5817.49,116911.76470588236,0.985118496874278,0,0
2023,동대문구,답십리동,동대문구_답십리동,1123010500,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1,100.0,17.36,,1,4,0.0,0.0,18.3925,1590000.0,11.7,1.9,404995.01,384250.11,6864.14,116911.76470588236,0.9824497828959184,0,0
2024,동대문구,답십리동,동대문구_답십리동,1123010500,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,3,0.0,0.0,27.25,1590000.0,11.7,1.9,404995.01,384250.11,6864.14,116911.76470588236,0.9824497828959184,0,1
2025,동대문구,답십리동,동대문구_답십리동,1123010500,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,26.085,1590000.0,11.7,1.9,404995.01,384250.11,6864.14,116911.76470588236,0.9824497828959184,0,0
2018,동대문구,신설동,동대문구_신설동,1123010100,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,1,0.0,0.0,12.14,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,2,0
2019,동대문구,신설동,동대문구_신설동,1123010100,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,12.14,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,2,0
2020,동대문구,신설동,동대문구_신설동,1123010100,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,1,0.0,0.0,12.14,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,2,0
2021,동대문구,신설동,동대문구_신설동,1123010100,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,18.62,1590000.0,11.7,1.9,407879.904,387630.994,6368.15,116911.76470588236,0.983837147625884,2,0
2022,동대문구,신설동,동대문구_신설동,1123010100,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,2,0.0,0.0,21.09,1590000.0,11.7,1.9,404801.63,385103.37,5817.49,116911.76470588236,0.985118496874278,2,0
2023,동대문구,신설동,동대문구_신설동,1123010100,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,0,3,0.0,0.0,18.44,1590000.0,11.7,1.9,404995.01,384250.11,6864.14,116911.76470588236,0.9824497828959184,2,0
